INFO   | jvm 1    | 2015/03/21 18:41:32 | Wrapper Manager: ShutdownHook complete
INFO   | jvm 1    | 2015/03/21 18:41:32 | Server daemon shut down
STATUS | wrapper  | 2015/03/21 18:41:32 | <-- Wrapper Stopped
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Spawning intermediate process...
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Spawning daemon process...
STATUS | wrapper  | 2015/03/21 18:55:50 | --> Wrapper Started as Daemon
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Using tick timer.
DEBUG  | wrapperp | 2015/03/21 18:55:50 | server listening on port 32000.
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[0] : java
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[1] : -Djava.library.path=../lib
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[2] : -classpath
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[3] : ../lib/daemon.jar:../lib/wrapper.jar
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[4] : -Dwrapper.key=UjBrEB9PBK2aZHQC
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[5] : -Dwrapper.port=32000
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[6] : -Dwrapper.jvm.port.min=31000
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[7] : -Dwrapper.jvm.port.max=31999
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[8] : -Dwrapper.debug=TRUE
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[9] : -Dwrapper.pid=31285
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[10] : -Dwrapper.version=3.2.3
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[11] : -Dwrapper.native_library=wrapper
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[12] : -Dwrapper.service=TRUE
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[13] : -Dwrapper.cpu.timeout=10
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[14] : -Dwrapper.jvmid=1
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[15] : runtime.daemon.WrapperSimpleApp
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[16] : runtime.daemon.MPJDaemon
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Command[17] : 10000
STATUS | wrapper  | 2015/03/21 18:55:50 | Launching a JVM...
INFO   | jvm 1    | 2015/03/21 18:55:50 | WrapperManager class initialized by thread: main  Using classloader: sun.misc.Launcher$AppClassLoader@48c4fedd
INFO   | jvm 1    | 2015/03/21 18:55:50 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/03/21 18:55:50 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/03/21 18:55:50 | 
INFO   | jvm 1    | 2015/03/21 18:55:50 | Wrapper Manager: JVM #1
INFO   | jvm 1    | 2015/03/21 18:55:50 | Running a 64-bit JVM.
INFO   | jvm 1    | 2015/03/21 18:55:50 | Wrapper Manager: Registering shutdown hook
INFO   | jvm 1    | 2015/03/21 18:55:50 | Wrapper Manager: Using wrapper
INFO   | jvm 1    | 2015/03/21 18:55:50 | Load native library.  One or more attempts may fail if platform specific libraries do not exist.
INFO   | jvm 1    | 2015/03/21 18:55:50 | Loading native library failed: libwrapper-linux-x86-64.so  Cause: java.lang.UnsatisfiedLinkError: no wrapper-linux-x86-64 in java.library.path
INFO   | jvm 1    | 2015/03/21 18:55:50 | Loaded native library: libwrapper.so
INFO   | jvm 1    | 2015/03/21 18:55:50 | Calling native initialization method.
INFO   | jvm 1    | 2015/03/21 18:55:50 | Inside native WrapperManager initialization method
INFO   | jvm 1    | 2015/03/21 18:55:50 | Java Version   : 1.6.0_33-b33 OpenJDK 64-Bit Server VM
INFO   | jvm 1    | 2015/03/21 18:55:50 | Java VM Vendor : Sun Microsystems Inc.
INFO   | jvm 1    | 2015/03/21 18:55:50 | 
INFO   | jvm 1    | 2015/03/21 18:55:50 | Control event monitor thread started.
INFO   | jvm 1    | 2015/03/21 18:55:50 | Startup runner thread started.
INFO   | jvm 1    | 2015/03/21 18:55:50 | WrapperManager.start(runtime.daemon.WrapperSimpleApp@343cf525, args["10000"]) called by thread: main
INFO   | jvm 1    | 2015/03/21 18:55:50 | Communications runner thread started.
INFO   | jvm 1    | 2015/03/21 18:55:50 | Open socket to wrapper...Wrapper-Connection
INFO   | jvm 1    | 2015/03/21 18:55:50 | Opened Socket from 31000 to 32000
INFO   | jvm 1    | 2015/03/21 18:55:50 | Send a packet KEY : UjBrEB9PBK2aZHQC
INFO   | jvm 1    | 2015/03/21 18:55:50 | handleSocket(Socket[addr=/127.0.0.1,port=32000,localport=31000])
DEBUG  | wrapperp | 2015/03/21 18:55:50 | accepted a socket from 127.0.0.1 on port 31000
DEBUG  | wrapperp | 2015/03/21 18:55:50 | read a packet KEY : UjBrEB9PBK2aZHQC
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Got key from JVM: UjBrEB9PBK2aZHQC
DEBUG  | wrapperp | 2015/03/21 18:55:50 | send a packet LOW_LOG_LEVEL : 1
DEBUG  | wrapperp | 2015/03/21 18:55:50 | send a packet PING_TIMEOUT : 30
DEBUG  | wrapperp | 2015/03/21 18:55:50 | send a packet PROPERTIES : (Property Values)
DEBUG  | wrapper  | 2015/03/21 18:55:50 | Start Application.
DEBUG  | wrapperp | 2015/03/21 18:55:50 | send a packet START : start
INFO   | jvm 1    | 2015/03/21 18:55:50 | Received a packet LOW_LOG_LEVEL : 1
INFO   | jvm 1    | 2015/03/21 18:55:50 | Wrapper Manager: LowLogLevel from Wrapper is 1
INFO   | jvm 1    | 2015/03/21 18:55:50 | Received a packet PING_TIMEOUT : 30
INFO   | jvm 1    | 2015/03/21 18:55:50 | PingTimeout from Wrapper is 30000
INFO   | jvm 1    | 2015/03/21 18:55:50 | Received a packet PROPERTIES : (Property Values)
INFO   | jvm 1    | 2015/03/21 18:55:50 | Received a packet START : start
INFO   | jvm 1    | 2015/03/21 18:55:50 | calling WrapperListener.start()
INFO   | jvm 1    | 2015/03/21 18:55:50 | Waiting for WrapperListener.start runner thread to complete.
INFO   | jvm 1    | 2015/03/21 18:55:50 | WrapperListener.start runner thread started.
